url_name,zh_name,platinum1,platinum2,platinum3,platinum_avg
pax_seeker,和平·追寻者,5,10,15
banshee_prime_set,Banshee Prime 一套,58,64,64
recharge_barrier,充能电幕,7,10,14
primed_target_cracker,弱点专精 Prime,65,65,70
tipedo_prime_set,提佩多 Prime 一套,70,70,70
rending_crane,撕裂鹤击,4,5,7
machete_wraith,马谢特砍刀·亡魂,75,75,75
scimitar_avionics_blueprint,Scimitar 飞航系统 蓝图,7,7,7
viper_wraith,蝰蛇·亡魂,60,80,80
steflos_receiver,石晶之花 枪机,10,10,13
bo_prime_set,玻之武杖 Prime 一套,70,75,75
votive_onslaught,埋首猛击,5,5,7
wanz_stabilizer_blueprint,万兹稳定器 蓝图,10,15,15
mesa_prime_set,Mesa Prime 一套,68,68,70
zhuge_prime_string,诸葛连弩 Prime 弓弦,5,8,8
corufell_handle,闪劫 握柄,10,10,10
octavia_prime_set,Octavia Prime 一套,70,75,75
crimson_dervish,赤红狂舞,5,5,8
nezha_prime_set,Nezha Prime 一套,64,65,65
dakra_prime_handle,达克拉 Prime 握柄,9,10,10
prisma_tetra,棱晶·特拉,70,70,75
guandao_prime_blade,关刀 Prime 刀刃,8,8,8
valkyr_prime_set,Valkyr Prime 一套,70,70,70
high_noon,正午,5,8,8
primed_pack_leader,领袖 Prime,60,60,70
laetum_blueprint,奏凯 蓝图,8,10,10
high_voltage,高压电流,65,65,69
magus_repair,魔导·修复,8,8,9
orb_vallis_scene,奥布山谷场景,70,200
nami_skyla_prime_handle,海波斯库拉对剑 Prime 握柄,5,8,9
twin_vipers_wraith_set,双子蝰蛇·亡魂 一套,74,75,75
octavia_prime_systems_blueprint,Octavia Prime 系统 蓝图,8,8,8
cernos_prime_set,西诺斯 Prime 一套,60,60,60
pax_bolt,和平·电闪,10,10,10
looter,搜刮者,50,55,59
quick_return,快速收回,2,4,5
atlas_prime_set,Atlas Prime 一套,63,68,70
steflos_stock,石晶之花 枪托,6,12,50
tenora_prime_stock,双簧管 Prime 枪托,8,9,9
gara_prime_set,Gara Prime 一套,60,67,68
trample,践踏,9,10,70
lato_vandal_blueprint,拉托·破坏者 蓝图,55,55,60
adarza_kavat_imprint,镜像型库娃 基因印记,7,9,10
primed_fast_hands,爆发装填 Prime,55,60,60
agkuza_handle,驯象钩刃 握柄,9,10,10
arc_coil,电弧线圈,35,40,90
boltor_prime_barrel,螺钉步枪 Prime 枪管,7,8,9
primed_cleanse_grineer,净化 Grineer Prime,30,60,65
bronco_prime_set,野马 Prime 一套,5,5,9
primed_magazine_warp,弹匣增幅 Prime,25,25,25
carrier_prime_blueprint,搬运者 Prime 蓝图,5,6,8
trinity_prime_set,Trinity Prime 一套,52,54,60
cobra_and_crane_prime_guard,眼镜蛇 & 鹤 Prime 护手,7,7,7
akmagnus_prime,麦格努斯双枪 Prime 一套,60,60,70
deadly_efficiency,致命效率,7,7,8
frost_prime_blueprint,Frost Prime 蓝图,49,60,60
meridian_armor_set,Meridian Armor Set,45,50,75
ember_prime_chassis_blueprint,Ember Prime 机体 蓝图,8,8,8
primed_heated_charge,火焰装填 Prime,60,60,60
focused_defense,重点防御,5,5,7
gauss_prime_blueprint,Gauss Prime 蓝图,5,5,5
primed_pistol_gambit,手枪精通 Prime,60,60,60
hespar_handle_blueprint,暮斩 握柄 蓝图,5,7,8
primed_rubedo_lined_barrel,红晶枪管 Prime,27,28,30
